1-Methyladenosine_pos-001,Carnitine-C18_pos-051,Guanidineacetic acid_pos-087,Hypoxanthine_pos-096,NMN_pos-162,Succinate_neg-079,state
0.001908365,3.25111E-05,0.000191163,0.004174996,4.76123E-06,0.000642954,0
0.001203134,5.04552E-05,0.000353479,0.002828033,3.53702E-06,0.001092699,0
0.000956986,4.18483E-05,0.000245857,0.002682034,7.99454E-06,0.000582806,1
0.000846101,4.14154E-05,0.000377631,0.002337671,1.21408E-05,0.000419478,1
0.001021279,3.71471E-05,0.000392916,0.000554823,2.85201E-06,0.000757835,0
0.001047103,5.89733E-05,0.000243096,0.001652743,7.94949E-06,0.000592316,0
0.000940635,4.17426E-05,0.000299499,0.003307173,7.07792E-06,0.000306866,1
0.001132727,8.47484E-05,0.000327545,0.003353389,1.18534E-05,0.000539737,0
0.001242075,6.67189E-05,0.000251735,0.001468595,5.66952E-06,0.000826438,0
0.000877322,3.6401E-05,0.000664184,0.003884476,1.34985E-05,0.000787932,0
0.001419027,2.62914E-05,0.000366773,0.002249126,7.89629E-06,0.000377172,1
0.000908018,3.58237E-05,0.000606534,0.001633031,5.55059E-06,0.000321433,1
0.001051095,1.43521E-05,0.000677447,0.002837092,6.25405E-06,0.001005093,0
0.000948111,2.66664E-05,0.000384565,0.003916682,9.53892E-06,0.00078222,0
0.000962584,1.27735E-05,0.000276063,0.001745077,6.96653E-06,0.000393617,1
0.000964038,4.27931E-05,0.000424967,0.003155949,2.84599E-05,0.000658902,0
0.000833556,0.000112284,0.000237167,0.001502963,2.80311E-06,0.000497919,0
0.001017762,3.83627E-05,0.000221898,0.002570313,7.2203E-06,0.000308185,1
0.00134294,1.50246E-05,0.00051476,0.002782834,4.39738E-06,0.000854725,0
0.001051976,3.70547E-05,0.000614249,0.003702504,2.51985E-06,0.000471196,1
0.000733757,2.7542E-05,0.000239917,0.001196945,6.32675E-06,0.000360004,0
0.000807137,2.95027E-05,0.000494885,0.000393746,1.56614E-05,0.000440491,0
0.001022541,4.6194E-05,0.000375173,0.003468051,1.12742E-05,0.000833904,0
0.001072552,6.31287E-05,0.000465726,0.002892262,6.04507E-06,0.000445618,1
0.000845375,2.55641E-05,0.000290345,0.001253587,1.50717E-05,0.000333829,1
0.001039707,5.5527E-05,0.000365023,0.001477132,9.20926E-06,0.000861838,0
0.001116091,5.7873E-05,0.000566881,0.003260111,1.08033E-05,0.000705149,0
