1-Methyladenosine_pos-001,Guanidineacetic acid_pos-087,NMN_pos-162,Uridine_neg-088,Hypoxanthine_pos-096,Succinate_neg-079,Carnitine-C18_pos-051,Serotonin_pos-142,N-Acetyl-D-glucosamine 6-phosphate_neg-061,Neopterin_pos-117,2-Aminooctanoic acid_pos-006,Pyroglutamic acid_neg-072,S-Adenosyl-methionine_pos-139,Lactic acid_neg-055,state
0.00123745,0.000242525,4.66979E-06,0.000284689,0.002680325,0.000446586,1.39893E-05,6.47468E-05,0.000214481,0.000106558,2.10961E-05,0.000127832,0.000475592,0.015224801,1
0.001009183,0.000516837,7.34444E-06,0.000370142,0.003660577,0.000375297,0.000131352,1.21223E-05,7.74421E-05,6.41633E-05,9.45467E-06,0.000157862,0.000621482,0.013033966,0
0.000947248,0.000544466,6.33677E-06,0.000451193,0.000773238,0.000583681,3.94709E-05,0.00012877,0.000103542,5.01507E-05,2.57048E-05,7.80684E-05,0.000460364,0.010615875,0
0.000958193,0.000526184,8.06391E-06,0.00054553,0.001997665,0.000609013,6.16985E-05,9.91223E-05,0.000135697,4.635E-05,5.27221E-05,0.000158283,0.000633441,0.009786023,0
0.000916724,0.000504501,1.04612E-05,0.000397356,0.002837648,0.000374335,3.18698E-05,1.23054E-05,0.000149324,5.00074E-05,2.4122E-05,0.000173581,0.000441017,0.012821533,1
0.001290675,0.00040231,3.38501E-06,0.000490837,0.004338389,0.00090721,5.24556E-05,6.07783E-05,0.000169878,4.72701E-05,4.8104E-05,0.000125902,0.000369797,0.01571269,0
0.001205496,0.00045981,4.23124E-06,0.000319107,0.003435504,0.000392229,2.14545E-05,0.000226111,0.000182837,5.39749E-05,6.5192E-05,0.000112259,0.000552077,0.01400826,1
0.001085851,0.000335495,4.69812E-06,0.000313066,0.004436041,0.000666191,0.000135551,3.18116E-05,0.000143995,8.44908E-05,2.70833E-05,0.000105589,0.000513995,0.012377505,0
0.000873506,0.000507247,7.79532E-06,0.000380742,0.001256525,0.000490773,3.00187E-05,6.32567E-05,0.000124007,3.36648E-05,3.05688E-05,0.000162056,0.000548823,0.008819119,0
0.000890302,0.000255042,3.0072E-06,0.000374664,0.003428994,0.000762671,9.41819E-05,4.17793E-05,0.000107413,3.86275E-05,3.32763E-05,0.000300081,0.000611883,0.019072589,0
0.001028971,0.000426687,8.15703E-06,0.000633633,0.003216051,0.000792409,3.49615E-05,5.25179E-05,0.000121235,3.77455E-05,5.11949E-05,0.000149323,0.000466816,0.012040229,0
0.000952202,0.00031062,2.04002E-05,0.000347456,0.002583944,0.000912066,6.65183E-05,0.00034878,0.000117483,5.38192E-05,3.86492E-05,0.000138004,0.000433858,0.018778018,0
0.001096548,0.00024183,4.31023E-06,0.000196083,0.00203428,0.000353026,6.07518E-06,3.61914E-05,0.000121473,0.000179754,4.91605E-05,0.000102983,0.000563222,0.012440774,1
0.00104002,0.000384877,1.19487E-05,0.00040465,0.00204043,0.000526613,5.18745E-05,0.000300541,0.000136061,4.49878E-05,1.4024E-05,9.22589E-05,0.000466746,0.011254568,0
0.001012663,0.000381056,6.79195E-06,0.000401005,0.004270928,0.000807293,3.016E-05,8.53828E-05,0.000125187,3.37732E-05,4.55175E-05,0.00010248,0.000575498,0.014537956,0
0.001106769,0.000456055,4.80948E-06,0.000485431,0.001618701,0.000830468,8.47353E-05,5.90927E-05,8.06369E-05,7.09261E-05,7.03724E-05,0.000117119,0.000400965,0.019890685,0
0.000866342,0.000358094,1.09822E-06,0.000316736,0.001139242,0.000398924,2.22506E-05,4.4165E-05,0.000209556,5.13474E-05,3.43211E-05,0.000241565,0.000608745,0.009744693,1
0.000861306,0.000246795,5.0644E-06,0.000362408,0.002094152,0.000327235,9.37606E-05,0.000141536,0.000142607,4.00359E-05,1.69916E-05,0.000102341,0.000289835,0.009948938,1
